地区,年份,结婚登记(万对),内地居民初婚登记(万人),内地居民再婚登记(万人),离婚登记(万对),粗离婚率(‰),总人口(万人),人口出生率(%),GDP(亿元),全体居民人均可支配收入(元)
云南省,2024年,26.24,40.42,12.06,12.4,2.66,4655,8.62,31423.4,29932
云南省,2023年,28.81,44.51,13.11,12.66,2.7,4673,8.22,30595.8,28421
云南省,2022年,27.38,41.96,12.8,11.11,2.37,4693,8.14,29301.1,26937
云南省,2021年,29.98,45.43,14.53,9.86,2.1,4690,9.35,27895.3,25666
云南省,2020年,32.79,49.47,16.11,14.3,2.99,4722,10.96,25214.5,23295
云南省,2019年,35.92,54.11,17.72,14.45,2.97,4714,12.63,23902.1,22082
云南省,2018年,37.76,58.02,17.49,13.33,2.77,4703,13.19,21427.5,20084
云南省,2017年,40.28,64.3,16.25,12.71,2.66,4693,13.53,18864.6,18348
云南省,2016年,44.61,74.41,14.81,11.93,2.52,4677,13.16,16773.6,16720
云南省,2015年,45.82,78.29,13.36,10.91,2.3,4663,12.88,15358.6,15223
云南省,2014年,46.48,81.47,11.5,10.05,2.14,4653,12.65,14275.1,13772
云南省,2013年,45.21,80.44,9.98,9.13,1.95,4641,12.6,13027,12578
云南省,2012年,41.95,76.55,7.35,8.21,1.76,4631,12.63,11266.3,11233
云南省,2011年,39.07,71.96,6.18,7.43,1.64,4620,12.71,9666.2,9739
云南省,2010年,40.2,74,6.5,6.9,1.5,4602,13.1,7869.9,8184
云南省,2009年,34.29,62.87,5.72,6.08,,4571,12.53,6690.2,7170
云南省,2008年,32.27,58.97,5.58,5.59,,4543,12.63,6120.6,6492
云南省,2007年,29.74,54.67,4.8,5.11,,4514,13.08,5166,5469
云南省,2006年,25.4,46.6,4.3,4.7,,4483,13.2,4157.7,4664
云南省,2005年,25.1,45.7,4.5,4.7,,4450,14.72,3553.3,4197
云南省,2004年,26.42,48.66,4.06,4.3,,4415,15.6,3185.3,
云南省,2003年,26.5,49.8,3.1,3.9,,4376,17,2673.6,
云南省,2002年,28.5,53.9,53.9,3.6,,4333,17.9,2392,
云南省,2001年,28.33,53.72,2.81,3.72,,4287,18.51,2186.4,
西藏自治区,2024年,2.76,4.97,0.56,0.68,1.84,370,13.87,2789.1,31358
西藏自治区,2023年,2.95,5.41,0.49,0.7,1.93,365,13.72,2532.9,28983
西藏自治区,2022年,2.47,4.59,0.35,0.46,1.26,364,14.24,2235.4,26675
西藏自治区,2021年,3.48,6.51,0.46,0.54,1.48,366,14.17,2145.1,24950
西藏自治区,2020年,3.42,6.67,0.17,0.63,1.75,366,13.96,1956.5,21744
西藏自治区,2019年,3.12,6.06,0.18,0.53,1.5,361,14.6,1750.3,19501
西藏自治区,2018年,3.01,5.84,0.18,0.47,1.37,354,15.22,1583.5,17286
西藏自治区,2017年,3.41,6.68,0.14,0.4,1.2,349,16,1381,15457
西藏自治区,2016年,3.01,5.76,0.26,0.35,1.08,340,15.79,1197.4,13639
西藏自治区,2015年,1.54,2.93,0.16,0.24,0.73,330,15.75,1063.6,12254
西藏自治区,2014年,1.96,3.54,0.38,0.26,0.84,325,15.76,954.8,10730
西藏自治区,2013年,1.16,2.28,0.04,0.18,0.57,317,15.77,840.3,9740
西藏自治区,2012年,1.39,2.69,0.09,0.13,0.43,315,15.48,721.1,8568
西藏自治区,2011年,1.36,2.65,0.08,0.2,0.68,309,15.39,620.8,7510
西藏自治区,2010年,1.3,2.4,0.2,0.2,0.67,300,15.8,521.4,6628
西藏自治区,2009年,1.36,2.48,0.24,0.17,,296,15.31,453,5807
西藏自治区,2008年,0.83,1.54,0.11,0.13,,292,15.5,405.2,5249
西藏自治区,2007年,0.78,1.44,0.12,0.15,,289,16.4,349.8,4609
西藏自治区,2006年,0.6,1.1,0.1,0.1,,285,17.4,290.6,3828
西藏自治区,2005年,0.6,1.1,0.1,0.1,,280,17.94,247,3630
西藏自治区,2004年,0.46,0.87,,0.1,,276,17.4,220.9,
西藏自治区,2003年,0.54,0.9,0.09,0.1,,272,17.4,188.2,
西藏自治区,2002年,0.6,1.1,0.1,0.1,,268,18.83,164,
西藏自治区,2001年,0.6,1.15,0.06,0.08,,264,18.6,140.7,
陕西省,2024年,16.84,24.67,9.02,9.12,2.31,3953,7.36,35437.1,33905
陕西省,2023年,23.5,36.25,10.75,9.59,2.43,3952,6.83,33976.5,32128
陕西省,2022年,20.04,30.51,9.58,7.99,2.02,3956,7.36,33035.6,30116
陕西省,2021年,22.1,33.01,11.2,8.17,2.07,3954,7.89,30476.6,28568
陕西省,2020年,23.62,35.17,12.07,12.79,3.27,3955,8.95,26297,26226
陕西省,2019年,27.19,40.98,13.39,13.67,3.53,3944,10.55,26214.5,24666
陕西省,2018年,30.04,46.75,13.33,12.84,3.34,3931,10.67,24354.8,22528
陕西省,2017年,30.06,48.27,11.85,10.88,2.84,3904,11.11,21776.1,20635
陕西省,2016年,33.24,54.49,11.99,10.14,2.67,3874,10.64,19354.6,18874
陕西省,2015年,35.6,59.85,11.35,9.73,2.57,3846,10.1,18188.3,17395
陕西省,2014年,38.12,65.56,10.69,8.51,2.26,3827,10.13,17635.6,15837
陕西省,2013年,39.57,68.89,10.25,8.06,2.14,3804,10.01,16106.3,14372
陕西省,2012年,37.36,65.62,9.11,7.1,1.89,3787,10.12,14311.5,12885
陕西省,2011年,36.93,65.62,8.24,6.82,1.76,3765,9.75,12320.1,11229
陕西省,2010年,34.7,61.8,7.5,6.4,1.72,3735,9.73,9973,9412
陕西省,2009年,31.94,58.75,5.13,5.52,,3727,10.24,8094.9,8122
陕西省,2008年,31.85,57.98,5.73,5.36,,3718,10.29,7256.8,7263
陕西省,2007年,27.64,49.6,5.67,5,,3708,10.21,5739.7,5974
陕西省,2006年,25.5,46.1,4.9,4.3,,3699,10.19,4642.1,5029
陕西省,2005年,20.8,38.1,3.5,4,,3690,10.02,3857.4,4395
陕西省,2004年,20.56,37.08,3.94,4.1,,3681,10.59,3178.4,
陕西省,2003年,19,35.6,2.5,3.4,,3672,10.67,2618.8,
陕西省,2002年,18.9,34.9,2.8,3.2,,3662,10.48,2281.1,
陕西省,2001年,20.38,36.89,3.78,3.44,,3653,10.5,2034.1,
甘肃省,2024年,13.02,21.73,4.31,5.31,2.16,2458,8,13020.5,26612
甘肃省,2023年,16.42,27.78,5.07,5.79,2.34,2465,7.71,12345.7,25011
甘肃省,2022年,13.42,22.47,4.37,4.09,1.64,2492,8.47,11553.6,23273
甘肃省,2021年,16.41,27.57,5.25,4.25,1.7,2490,9.68,10608,22066
甘肃省,2020年,17.79,28.84,6.74,5.9,2.29,2501,10.55,9323.1,20335
甘肃省,2019年,19.85,32.38,7.33,6.22,2.35,2509,10.6,9053.3,19139
甘肃省,2018年,21.07,38.4,3.73,5.78,2.2,2515,11.07,8364.7,17488
甘肃省,2017年,19.79,38.33,1.25,5.41,2.07,2522,12.54,7642.6,16011
甘肃省,2016年,21.91,42.55,1.27,5.03,1.94,2520,12.18,7207.1,14670
甘肃省,2015年,22.03,42.65,1.42,4.62,1.78,2523,12.36,6793.4,13467
甘肃省,2014年,20.18,39.19,1.17,4.22,1.63,2531,12.21,6629.4,12185
甘肃省,2013年,18.65,35.92,1.37,3.85,1.49,2537,12.16,6108.3,10954
甘肃省,2012年,16.75,31.87,1.64,3.29,1.28,2550,12.11,5469.1,9768
甘肃省,2011年,16.91,31.68,2.14,3.07,1.13,2552,12.08,4880.7,8463
甘肃省,2010年,14.2,27,1.5,2.8,1.09,2560,12.05,3987.7,7358
甘肃省,2009年,12.24,23.33,1.15,2.47,,2555,13.32,3313.8,6454
甘肃省,2008年,11.8,22.33,1.28,2.4,,2551,13.22,3112.5,5782
甘肃省,2007年,11.58,21.86,1.3,2.2,,2548,13.14,2707.3,5037
甘肃省,2006年,13.3,24.5,2,2.3,,2547,12.86,2230,4428
甘肃省,2005年,11.5,21,1.9,2.3,,2545,12.59,1890.9,3962
甘肃省,2004年,12.12,22.52,1.7,2.1,,2541,12.43,1675.7,
甘肃省,2003年,11.8,22.2,1.5,1.9,,2537,12.58,1417.3,
甘肃省,2002年,12.2,22.7,1.7,1.7,,2531,13.16,1246.2,
甘肃省,2001年,12.61,23.94,1.27,1.95,,2523,13.58,1135.1,
青海省,2024年,3.89,6.14,1.65,1.62,2.72,593,10.11,3965.5,30117
青海省,2023年,4.71,7.54,1.87,1.79,3.01,594,9.25,3849.2,28587
青海省,2022年,3.37,5.42,1.31,1.14,1.92,595,10.6,3677.4,27000
青海省,2021年,4.57,7.35,1.78,1.35,2.28,594,11.22,3446.3,25919
青海省,2020年,5.19,8.51,1.86,1.83,3.05,593,11.43,3080.6,24037
青海省,2019年,5.77,9.66,1.88,1.85,3.04,590,13.66,3020.2,22618
青海省,2018年,5.73,9.61,1.85,1.71,2.85,587,14.31,2799.9,20757
青海省,2017年,5.97,10.27,1.67,1.64,2.76,586,14.42,2517,19001
青海省,2016年,6.12,10.83,1.41,1.52,2.58,582,14.7,2310.7,17302
青海省,2015年,5.11,9.21,1,1.28,2.17,577,14.72,2054.3,15813
青海省,2014年,5.4,9.95,0.85,1.25,2.16,576,14.67,1875.1,14374
青海省,2013年,4.75,8.48,1.01,1.08,1.87,571,14.16,1736.1,12948
青海省,2012年,4.57,7.88,1.26,1.07,1.86,571,14.3,1547.9,11470
青海省,2011年,4.17,7.46,0.87,0.94,1.7,568,14.43,1388.3,10024
青海省,2010年,3,5.4,0.5,0.8,1.43,563,14.94,1160.8,8659
青海省,2009年,2.97,5.44,0.51,0.76,,557,14.51,953.3,7553
青海省,2008年,3.38,6.09,0.67,0.75,,554,14.49,909.2,6808
青海省,2007年,3.12,5.54,0.7,0.83,,552,14.93,729.4,5916
青海省,2006年,3.1,5.4,0.9,0.8,,548,15.24,592.7,5113
青海省,2005年,2.9,5.2,0.5,0.8,,543,15.7,506,4587
青海省,2004年,3.02,5.52,0.51,0.8,,539,16.32,450,
青海省,2003年,3.3,6.1,0.5,0.7,,534,16.94,390.4,
青海省,2002年,3.4,6.2,0.6,0.6,,529,18.05,345.1,
青海省,2001年,3.31,6.14,0.47,0.69,,523,19.06,303.6,
宁夏回族自治区,2024年,3.98,6.14,1.82,2.07,2.83,729,10.97,5520.2,33355
宁夏回族自治区,2023年,5.07,7.99,2.14,2.1,2.89,729,10.02,5368.8,31604
宁夏回族自治区,2022年,4.16,6.52,1.8,1.65,2.26,728,10.6,5168.1,29599
宁夏回族自治区,2021年,4.87,7.66,2.08,1.67,2.31,725,11.62,4666.5,27904
宁夏回族自治区,2020年,4.94,7.72,2.15,2.07,2.93,721,11.59,4036.2,25735
宁夏回族自治区,2019年,6.09,9.86,2.32,2.44,3.51,717,13.72,3841.5,24412
宁夏回族自治区,2018年,6.07,9.95,2.2,2.28,3.33,710,13.32,3580.6,22400
宁夏回族自治区,2017年,6.03,9.91,2.16,2.22,3.27,705,13.44,3271.6,20562
宁夏回族自治区,2016年,6.2,10.3,2.11,1.95,2.92,695,13.69,2853.3,18832
宁夏回族自治区,2015年,6.09,10.31,1.87,1.81,2.64,684,12.62,2644.7,17329
宁夏回族自治区,2014年,5.6,9.73,1.46,1.58,2.4,678,13.1,2516.4,15907
宁夏回族自治区,2013年,6.38,11.54,1.22,1.59,2.43,666,13.12,2364.9,14566
宁夏回族自治区,2012年,6.07,10.88,1.27,1.5,2.32,659,13.26,2162,13104
宁夏回族自治区,2011年,6.15,10.86,1.43,1.33,2.08,648,13.65,1959.3,11480
宁夏回族自治区,2010年,6,10.5,1.5,1.2,1.91,633,14.14,1595.3,9864
宁夏回族自治区,2009年,5.66,10.15,1.16,1.27,,625,14.38,1284.8,8742
宁夏回族自治区,2008年,4.62,8.25,0.98,1.07,,618,14.31,1153.7,7924
宁夏回族自治区,2007年,4.92,9.1,0.75,0.97,,610,14.8,887.9,6630
宁夏回族自治区,2006年,5.1,9.6,0.7,0.9,,604,15.53,691.6,5576
宁夏回族自治区,2005年,4.1,7.5,0.7,0.9,,596,15.93,587.2,4918
宁夏回族自治区,2004年,4.05,7.4,0.66,0.8,,588,15.97,527.3,
宁夏回族自治区,2003年,3.6,6.6,0.5,0.6,,580,15.68,448.4,
宁夏回族自治区,2002年,3.3,6.2,0.4,0.5,,572,16.42,381.8,
宁夏回族自治区,2001年,3.37,6.4,0.33,0.61,,563,16.55,341.5,
新疆维吾尔自治区,2024年,18.12,23.45,12.78,10.11,3.87,2623,9.42,20492.4,30899
新疆维吾尔自治区,2023年,21.51,28.61,14.42,10.88,4.2,2598,7.1,19603.3,28947
新疆维吾尔自治区,2022年,12.53,16.38,8.69,6.57,2.54,2587,6.53,18550.5,27063
新疆维吾尔自治区,2021年,15.63,25.23,6.03,7.34,2.83,2589,6.16,16791.5,26075
新疆维吾尔自治区,2020年,13.88,25.82,1.94,7.36,2.88,2590,6.94,14262.2,23845
新疆维吾尔自治区,2019年,16.59,30.99,2.2,7.31,2.9,2559,8.14,14024.9,23103
新疆维吾尔自治区,2018年,15.37,28.54,2.19,5.95,2.41,2520,10.69,13110.1,21500
新疆维吾尔自治区,2017年,18.39,34.3,2.47,7.44,3.07,2480,15.88,11460.8,19975
新疆维吾尔自治区,2016年,21.41,40.63,2.18,9.36,3.98,2428,15.34,9913.9,18355
新疆维吾尔自治区,2015年,27.66,52.1,3.22,10.18,4.31,2385,15.59,9545.7,16859
新疆维吾尔自治区,2014年,27.92,52.5,3.33,10.8,4.74,2325,16.44,9400.2,15097
新疆维吾尔自治区,2013年,26.07,48.02,4.12,10.91,4.82,2285,15.84,8518.4,13670
新疆维吾尔自治区,2012年,26.29,43.05,9.52,10.31,4.62,2253,15.32,7499.5,12151
新疆维吾尔自治区,2011年,28.23,41.93,14.54,10.42,4.81,2225,14.99,6607.6,10443
新疆维吾尔自治区,2010年,26.4,38.9,13.9,9.8,4.51,2185,15.99,5425.4,9042
新疆维吾尔自治区,2009年,26.55,38.96,14.15,8.84,,2159,15.99,4289.5,7656
新疆维吾尔自治区,2008年,25.36,37.56,13.16,8.74,,2131,16.05,4183.9,7012
新疆维吾尔自治区,2007年,22.63,33.1,12.16,8.15,,2095,16.79,3536.4,6273
新疆维吾尔自治区,2006年,20.1,29.2,11,7.7,,2050,15.79,2984.5,5290
新疆维吾尔自治区,2005年,19.6,29.4,9.9,7.8,,2010,16.42,2543,4707
新疆维吾尔自治区,2004年,19.34,29.73,8.89,6.8,,1963,16,2193.2,
新疆维吾尔自治区,2003年,16.6,25.6,7.6,5.9,,1934,16.01,1909.3,
新疆维吾尔自治区,2002年,16,24.4,7.5,5.2,,1905,16.3,1630.5,
新疆维吾尔自治区,2001年,16.22,24.35,8.05,5.51,,1876,16.82,1506,
